2025-03-07 16:25:48,037 - Key w pressed
2025-03-07 16:25:48,121 - Key e pressed
2025-03-07 16:25:48,217 - Key f pressed
2025-03-07 16:25:48,427 - Key w pressed
2025-03-07 16:25:48,503 - Key e pressed
2025-03-07 16:25:48,566 - Key f pressed
2025-03-07 16:25:48,724 - Key w pressed
2025-03-07 16:25:48,836 - Key f pressed
2025-03-07 16:25:48,978 - Key w pressed
2025-03-07 16:25:49,104 - Key f pressed
2025-03-07 16:25:49,210 - Key w pressed
2025-03-07 16:25:49,276 - Key e pressed
2025-03-07 16:25:49,321 - Key f pressed
2025-03-07 16:25:49,845 - Key  pressed
2025-03-07 16:25:58,459 - Key a pressed
2025-03-07 16:25:58,625 - Key d pressed
2025-03-07 16:25:58,736 - Key w pressed
2025-03-07 16:26:07,298 - Key a pressed
2025-03-07 16:26:07,391 - Key w pressed
2025-03-07 16:26:07,442 - Key d pressed
2025-03-07 16:26:07,582 - Key a pressed
2025-03-07 16:26:07,605 - Key w pressed
2025-03-07 16:26:07,834 - Key d pressed
2025-03-07 16:26:08,143 - Key f pressed
2025-03-07 16:26:08,295 - Key e pressed
2025-03-07 16:26:08,311 - Key q pressed
2025-03-07 16:26:08,322 - Key w pressed
2025-03-07 16:26:08,332 - Key f pressed
2025-03-07 16:26:11,928 - Key  pressed
2025-03-07 16:26:12,584 - Key  pressed
2025-03-07 16:26:14,254 - Key  pressed
2025-03-07 16:26:17,623 - Key  pressed
2025-03-07 16:26:18,146 - Key  pressed
2025-03-07 16:26:22,447 - Key q pressed
2025-03-07 16:26:22,456 - Key w pressed
2025-03-07 16:26:22,587 - Key d pressed
